4,1,"8,18,17,24,1,3,15,7,4,11,19",19,14,33
1,2,22,19,7,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1,16",2,10,12
2,1,"5,10,24,7",4,13,17
3,1,"17,13,19,21,14",8,12,20
4,1,"25,3,4,11,22,23,6,2,8",15,14,29
1,2,"20,18",16,10,26
2,2,"12,15",18,14,32
machine,batch,jobs,starting time,processing time,completion time
1,1,"14,24,16",5,3,8
2,1,"23,2,7,20",8,8,16
3,1,"3,13,19,1,8,12,6,11",17,8,25
1,2,"15,9",20,8,28
4,1,"17,4,5,10,21,18,22,25",29,9,38
machine,batch,jobs,starting time,processing time,completion time
1,1,"18,9",2,8,10
2,1,"5,19,12",6,6,12
3,1,"6,3,16,21,1",12,9,21
4,1,"20,2,10,13,14,4,7",21,9,30
1,2,8,21,6,27
2,2,"22,11,23,24",24,9,33
3,2,"17,25,15",28,7,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"23,5,19",3,12,15
2,1,"10,12,20,13",10,11,21
3,1,"3,24,25,17,1,22,15,9,16",19,14,33
4,1,"11,14,4,8,18,6,7,2,21",29,13,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"19,18",2,11,13
2,1,"8,24",5,13,18
3,1,"17,2,6,10,4",11,13,24
4,1,"7,16,20,22,3,1,13,23",17,14,31
1,2,"9,5",22,6,28
2,2,"11,12,21",24,14,38
3,2,"25,14,15",29,13,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"20,3",2,9,11
2,1,"11,2,4",5,8,13
3,1,"8,12,13,14,23,18,24,6",9,9,18
4,1,"21,1,15,22,7,17,5,16,19",16,8,24
1,2,"25,10",18,3,21
2,2,9,19,1,20
machine,batch,jobs,starting time,processing time,completion time
1,1,"22,1",2,6,8
2,1,"4,23,14",3,9,12
3,1,"15,6,25,19,3,20",11,9,20
1,2,"7,10",12,8,20
4,1,"2,16,17,8,9,11,13,21",15,9,24
2,2,"5,12,24",17,2,19
2,3,18,18,3,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1",3,10,13
2,1,"15,18,20",5,10,15
3,1,"7,25,5,16,3,14,13,11",13,9,22
4,1,"23,6,10,19,8,9,12,22,21,24,2",19,13,32
1,2,17,19,11,30
machine,batch,jobs,starting time,processing time,completion time
1,1,9,1,1,2
1,2,21,1,13,14
2,1,"4,15,1,16",8,12,20
3,1,"23,8,22,3,6,24,25",12,9,21
